eventID,nswprice,nswdemand,vicprice,vicdemand,transfer
088482830170213,0.028612,0.174204,0.001845,0.27913,0.769298
088482830191489,0.027741,0.18194,0.001784,0.274728,0.8
088482830212766,0.028672,0.203065,0.001824,0.28405,0.804825
088482830234043,0.030323,0.24695,0.001942,0.310461,0.787281
088482830255319,0.040681,0.33978,0.002636,0.374158,0.663596
088482830276596,0.043383,0.437816,0.00273,0.43941,0.611404
088482830297872,0.034676,0.470842,0.002308,0.485241,0.484649
088482830319149,0.037378,0.54582,0.002532,0.558519,0.436404
088482830340426,0.034526,0.568581,0.002385,0.589591,0.424561
088482830361702,0.033866,0.576465,0.002302,0.596323,0.436404
088482830382979,0.029572,0.592086,0.002009,0.596064,0.415789
088482830404255,0.029693,0.590598,0.002,0.597359,0.376316
088482830425532,0.029693,0.590152,0.002009,0.594252,0.395614
088482830446809,0.029512,0.585391,0.002009,0.589332,0.392105
088482830468085,0.034376,0.583755,0.002347,0.592698,0.424123
088482830489362,0.038069,0.585094,0.002607,0.587778,0.437281
088482830510638,0.036838,0.579887,0.00252,0.568099,0.439912
088482830531915,0.033175,0.566944,0.002223,0.56784,0.425
088482830553191,0.037438,0.565903,0.002574,0.577939,0.43114
088482830574468,0.035757,0.564713,0.002457,0.573796,0.416228
088482830595745,0.029212,0.554894,0.002015,0.564992,0.382456
088482830617021,0.029242,0.548944,0.002025,0.559296,0.399561
088482830638298,0.029122,0.545373,0.002007,0.541429,0.439035
088482830659574,0.030893,0.567242,0.002117,0.539358,0.426316
088482830680851,0.034947,0.58911,0.002393,0.549456,0.436404
088482830702128,0.036628,0.625409,0.002507,0.57276,0.426316
088482830723404,0.03954,0.670039,0.002709,0.621699,0.41886
088482830744681,0.03912,0.716602,0.00268,0.680994,0.369737
088482830765957,0.037799,0.696073,0.002584,0.685396,0.36886
088482830787234,0.036027,0.660666,0.002455,0.64552,0.385965
088482830808511,0.032965,0.609194,0.002243,0.603055,0.361842
088482830829787,0.030743,0.578846,0.002098,0.568099,0.410965
088482830851064,0.029182,0.546712,0.001992,0.542983,0.437281
08848283087234,0.029783,0.522017,0.002032,0.508027,0.466667
088482830893617,0.027291,0.479322,0.001859,0.472812,0.520614
088482830914894,0.027111,0.436626,0.00183,0.443294,0.559649
08848283093617,0.031584,0.475602,0.002044,0.408079,0.627193
088482830957447,0.029122,0.489289,0.001865,0.389694,0.615351
088482830978723,0.033175,0.488248,0.002181,0.445883,0.639474
0884828310,0.037168,0.478132,0.002401,0.436561,0.696053
0889253400,0.03975,0.468759,0.002482,0.397204,0.69693
088925340021277,0.042662,0.447932,0.002665,0.368721,0.70307
088925340042553,0.0523,0.411485,0.003405,0.427499,0.641667
08892534006383,0.046685,0.358524,0.003022,0.416106,0.691667
088925340085106,0.042092,0.301547,0.002707,0.382444,0.725439
